name,lat,lon,category,desc1,desc2,desc3,desc4,desc5
"Biobauernhof Scheurenhöfchen",50.9738375190915,7.246630908333511,bio,"Bio-Landwirtschaftsbetrieb","Scheurenhöfchen 1, 51429 Bergisch Gladbach","<a href=""https://scheurenhöfchen.de"" target=""_blank"" rel=""noopener"">scheurenhöfchen.de</a>",,
"Alnatura",50.99388887760864,7.147232734203713,bio,"Bio-Supermarkt im Strundepark","Kürtener Straße 1, 51465 Bergisch Gladbach",,,
"Denns Biomarkt",50.984220969233085,7.120718055257108,bio,"Bio-Supermarkt","Richard-Zanders-Straße 6, 51465 Bergisch Gladbach",,,
"Büggel",50.999692053109364,7.099740381919315,bio,"Unverpackt-Laden in Paffrath","Nußbaumer Str. 7, 51469 Bergisch Gladbach","<a href=""https://bueggel-unverpackt.de"" target=""_blank"" rel=""noopener"">bueggel-unverpackt.de</a>",,
"Klefhof",50.98555915084455,7.245144844661729,bio,"Bio-Bauernhof und Lernort im Bergischen Land","Klefhaus 10, 51491 Overath","<a href=""https://klefhof.de"" target=""_blank"" rel=""noopener"">klefhof.de</a>",,
"Naturkost Refrath",50.95646508745058,7.114921821858898,bio,"Bioladen","Dolmanstraße 6 -10, 51427 Bergisch Gladbach",,,
"Naturwaren Böhnke",50.96452544370829,7.1030008328056145,bio,"Bioladen","Brandroster 38, 51427 Bergisch Gladbach",,,
"Veganland",50.99118771853806,7.128502893599267,vegan,"Veganer Schnellimbiss in der Stadtmitte, auch zum Mitnehmen oder liefern lassen","Hauptstraße 174, 51465 Bergisch Gladbach",,,
"Tandoor House",50.96611872128222,7.156954375432551,vegan,"Indisches Restaurant in Bensberg mit vielen veganen Optionen, auch als Lieferservice","Kölner Str. 1a, 51429 Bergisch Gladbach",,,
"Bücherschrank",50.991724448181,7.1310789377434505,secondhand,"Konrad-Adenauer-Platz",,,,
"Bücherschrank",50.99244329321569,7.132871796386903,secondhand,"im Erdgeschoss der VHS",,,,
"Bücherschrank",50.99831633267691,7.152605061335234,secondhand,"Rommerscheider Höhe Ecke Rommerscheid",,,,
"Bücherschrank",51.01494790185004,7.082242180676871,secondhand,"Karl-Giesen-Str. (am Spielplatz)",,,,
"Bücherschrank",50.957912358344736,7.116778078238181,secondhand,"Kirchplatz",,,,
"Bücherschrank",50.958900867406136,7.16574206380509,secondhand,"Reginharstraße",,,,
"Repaircafé",50.991726049039315,7.134383040510852,secondhand,"jeden 3. Sa im Monat 10-12 Uhr im Mittendrin","Hauptstraße 249, 51465 Bergisch Gladbach","<a href=""https://www.bavweb.de/index.php"" target=""_blank"" rel=""noopener"">bavweb.de</a>",,
"ADRA-Shop",50.99245204310804,7.144594291850431,secondhand,"Second-Hand-Laden","Hauptstraße 362-364, 51465 Bergisch Gladbach","<a href=""http://www.adrashop.de/"" target=""_blank"" rel=""noopener"">adrashop.de</a>",,
"Secondhand-Halle Emmaus",50.98015417853998,7.100911916752401,secondhand,"Gebrauchtwaren, Secondhand-Halle","Schlodderdicher Weg 48, 51469 Bergisch Gladbach","(0172) 2465918",,
"Eine-Welt-Laden",50.991568039530584,7.13361156400527,secondhand,"im Forum","Hauptstraße 250, 51465 Bergisch Gladbach",,,
